variable,G1_mean,G2_mean,G3_mean,G4_mean,ANOVA_p,KruskalWallis_p
Age_years,6.541,5.904,6.337,6.205,0.572,0.418
Illness_Duration_days,4.898,5.801,5.144,6.328,0.07,0.076
Weight_kg,23.06,22.773,24.222,23.476,0.878,0.827
Temperature_C,39.391,39.466,39.326,39.341,0.672,0.779
Heart_Rate_bpm,126.772,121.945,120.626,125.549,0.613,0.566
Resp_Rate_bpm,31.264,30.695,31.254,30.167,0.934,0.974
Clinical_VAS_0_10,5.739,6.139,5.82,5.43,0.548,0.46
Vulvar_Discharge_VAS_0_3,1.736,1.513,1.78,1.923,0.169,0.168
TLC_per_uL,18.259,19.011,18.896,20.101,0.635,0.525
Neutrophils_per_uL,14.97,14.157,16.026,16.095,0.46,0.363
BUN_mg_dL,23.207,24.973,23.389,23.833,0.792,0.944
Creatinine_mg_dL,1.019,1.088,0.969,1.051,0.529,0.683
ALP_U_L,326.337,320.798,308.129,304.222,0.821,0.697
ALT_U_L,79.07,80.85,84.726,84.369,0.797,0.665
Total_Protein_g_dL,6.616,6.786,6.637,6.601,0.186,0.154
Albumin_g_dL,2.743,2.686,2.68,2.665,0.795,0.709
Globulin_g_dL,3.873,4.1,3.957,3.937,0.284,0.362
Uterine_Diameter_mm,18.429,17.037,17.785,16.896,0.597,0.494
Progesterone_ng_mL,11.991,11.662,11.532,11.48,0.983,0.893
