,Age_years,Illness_Duration_days,Weight_kg,Temperature_C,Heart_Rate_bpm,Resp_Rate_bpm,Clinical_VAS_0_10,Vulvar_Discharge_VAS_0_3,TLC_per_uL,Neutrophils_per_uL,BUN_mg_dL,Creatinine_mg_dL,ALP_U_L,ALT_U_L,Total_Protein_g_dL,Albumin_g_dL,Globulin_g_dL,Uterine_Diameter_mm,Progesterone_ng_mL
Age_years,1.0,0.15,0.06,-0.11,-0.09,0.1,-0.03,-0.28,-0.08,-0.04,0.17,0.13,0.07,0.19,0.06,-0.19,0.17,0.17,0.13
Illness_Duration_days,0.15,1.0,0.03,-0.1,-0.05,-0.17,-0.06,-0.08,0.19,-0.06,0.33,0.38,0.31,0.39,-0.04,-0.33,0.13,0.05,0.11
Weight_kg,0.06,0.03,1.0,-0.08,0.0,0.11,0.02,0.05,0.21,-0.01,0.16,0.09,0.03,0.01,-0.11,-0.19,0.0,-0.21,-0.04
Temperature_C,-0.11,-0.1,-0.08,1.0,-0.13,-0.06,-0.05,0.11,0.05,-0.13,-0.16,-0.02,-0.08,-0.08,0.25,0.07,0.19,0.01,-0.04
Heart_Rate_bpm,-0.09,-0.05,0.0,-0.13,1.0,-0.15,0.14,0.2,-0.0,-0.1,0.07,0.07,0.07,0.05,-0.11,-0.05,0.0,-0.1,0.05
Resp_Rate_bpm,0.1,-0.17,0.11,-0.06,-0.15,1.0,0.09,0.04,-0.02,0.24,0.14,0.08,0.04,0.02,-0.08,-0.04,-0.08,0.11,0.01
Clinical_VAS_0_10,-0.03,-0.06,0.02,-0.05,0.14,0.09,1.0,0.0,0.05,-0.01,0.21,0.35,0.3,0.17,-0.03,-0.26,0.12,0.0,0.09
Vulvar_Discharge_VAS_0_3,-0.28,-0.08,0.05,0.11,0.2,0.04,0.0,1.0,0.02,-0.01,-0.13,-0.1,-0.15,-0.08,-0.19,0.13,-0.22,-0.04,-0.11
TLC_per_uL,-0.08,0.19,0.21,0.05,-0.0,-0.02,0.05,0.02,1.0,0.19,0.23,0.21,0.17,0.19,-0.13,-0.11,-0.04,-0.25,-0.16
Neutrophils_per_uL,-0.04,-0.06,-0.01,-0.13,-0.1,0.24,-0.01,-0.01,0.19,1.0,-0.1,-0.08,-0.2,-0.11,0.05,-0.05,0.09,-0.03,0.09
BUN_mg_dL,0.17,0.33,0.16,-0.16,0.07,0.14,0.21,-0.13,0.23,-0.1,1.0,0.72,0.52,0.67,-0.16,-0.67,0.3,0.25,-0.03
Creatinine_mg_dL,0.13,0.38,0.09,-0.02,0.07,0.08,0.35,-0.1,0.21,-0.08,0.72,1.0,0.54,0.72,-0.07,-0.65,0.31,0.21,0.22
ALP_U_L,0.07,0.31,0.03,-0.08,0.07,0.04,0.3,-0.15,0.17,-0.2,0.52,0.54,1.0,0.42,-0.11,-0.35,0.07,0.05,0.14
ALT_U_L,0.19,0.39,0.01,-0.08,0.05,0.02,0.17,-0.08,0.19,-0.11,0.67,0.72,0.42,1.0,-0.04,-0.55,0.27,0.19,0.2
Total_Protein_g_dL,0.06,-0.04,-0.11,0.25,-0.11,-0.08,-0.03,-0.19,-0.13,0.05,-0.16,-0.07,-0.11,-0.04,1.0,0.12,0.69,0.02,0.07
Albumin_g_dL,-0.19,-0.33,-0.19,0.07,-0.05,-0.04,-0.26,0.13,-0.11,-0.05,-0.67,-0.65,-0.35,-0.55,0.12,1.0,-0.55,-0.19,-0.09
Globulin_g_dL,0.17,0.13,0.0,0.19,0.0,-0.08,0.12,-0.22,-0.04,0.09,0.3,0.31,0.07,0.27,0.69,-0.55,1.0,0.12,0.06
Uterine_Diameter_mm,0.17,0.05,-0.21,0.01,-0.1,0.11,0.0,-0.04,-0.25,-0.03,0.25,0.21,0.05,0.19,0.02,-0.19,0.12,1.0,-0.06
Progesterone_ng_mL,0.13,0.11,-0.04,-0.04,0.05,0.01,0.09,-0.11,-0.16,0.09,-0.03,0.22,0.14,0.2,0.07,-0.09,0.06,-0.06,1.0
