variable,G1_Supportive,G2_PGF2a,G3_Aglepristone_PGF2a,G4_OHE,ANOVA_p
Age_years,6.54 ± 1.44,5.90 ± 1.20,6.34 ± 1.65,6.21 ± 1.50,0.572
Illness_Duration_days,4.90 ± 2.28,5.80 ± 1.77,5.14 ± 1.51,6.33 ± 1.76,0.07
Weight_kg,23.06 ± 5.69,22.77 ± 5.55,24.22 ± 6.51,23.48 ± 5.87,0.878
Temperature_C,39.39 ± 0.49,39.47 ± 0.44,39.33 ± 0.26,39.34 ± 0.35,0.672
Heart_Rate_bpm,126.77 ± 16.81,121.95 ± 14.74,120.63 ± 15.58,125.55 ± 19.34,0.613
Resp_Rate_bpm,31.26 ± 5.71,30.70 ± 7.54,31.25 ± 5.58,30.17 ± 5.71,0.934
Clinical_VAS_0_10,5.74 ± 1.71,6.14 ± 1.73,5.82 ± 1.51,5.43 ± 1.15,0.548
Vulvar_Discharge_VAS_0_3,1.74 ± 0.57,1.51 ± 0.52,1.78 ± 0.66,1.92 ± 0.55,0.169
TLC_per_uL,18.26 ± 4.89,19.01 ± 4.57,18.90 ± 4.44,20.10 ± 4.15,0.635
Neutrophils_per_uL,14.97 ± 3.29,14.16 ± 4.94,16.03 ± 4.63,16.10 ± 4.70,0.46
BUN_mg_dL,23.21 ± 6.43,24.97 ± 6.62,23.39 ± 5.86,23.83 ± 5.08,0.792
Creatinine_mg_dL,1.02 ± 0.26,1.09 ± 0.33,0.97 ± 0.26,1.05 ± 0.18,0.529
ALP_U_L,326.34 ± 83.27,320.80 ± 92.01,308.13 ± 94.60,304.22 ± 63.59,0.821
ALT_U_L,79.07 ± 18.63,80.85 ± 23.53,84.73 ± 21.24,84.37 ± 20.84,0.797
Total_Protein_g_dL,6.62 ± 0.31,6.79 ± 0.27,6.64 ± 0.33,6.60 ± 0.27,0.186
Albumin_g_dL,2.74 ± 0.25,2.69 ± 0.29,2.68 ± 0.25,2.66 ± 0.26,0.795
Globulin_g_dL,3.87 ± 0.35,4.10 ± 0.44,3.96 ± 0.31,3.94 ± 0.40,0.284
Uterine_Diameter_mm,18.43 ± 3.93,17.04 ± 4.16,17.78 ± 4.36,16.90 ± 3.51,0.597
Progesterone_ng_mL,11.99 ± 3.55,11.66 ± 4.76,11.53 ± 4.91,11.48 ± 4.38,0.983
