variable,failure_mean_sd,success_mean_sd,hedges_g,univ_AUC_fail,mannwhitney_p,welch_t_p
BUN_mg_dL,30.55 ± 4.88,22.43 ± 5.15,1.57,0.891,0.0,0.0
Creatinine_mg_dL,1.32 ± 0.23,0.97 ± 0.22,1.55,0.89,0.0,0.0
Albumin_g_dL,2.44 ± 0.21,2.75 ± 0.23,-1.29,0.837,0.0001,0.0001
ALT_U_L,101.71 ± 16.53,78.13 ± 19.38,1.23,0.835,0.0001,0.0001
ALP_U_L,401.49 ± 80.82,296.50 ± 71.65,1.42,0.831,0.0001,0.0003
Illness_Duration_days,6.89 ± 2.27,5.26 ± 1.70,0.9,0.735,0.0061,0.0216
Age_years,7.09 ± 1.29,6.07 ± 1.42,0.72,0.733,0.0066,0.0157
Uterine_Diameter_mm,19.51 ± 4.28,17.12 ± 3.81,0.61,0.695,0.0226,0.0695
Globulin_g_dL,4.13 ± 0.55,3.93 ± 0.33,0.53,0.635,0.1149,0.2028
Clinical_VAS_0_10,6.46 ± 2.23,5.64 ± 1.32,0.54,0.632,0.1239,0.2038
Temperature_C,39.26 ± 0.46,39.41 ± 0.37,-0.37,0.624,0.1471,0.2796
Progesterone_ng_mL,10.33 ± 3.54,11.95 ± 4.48,-0.37,0.606,0.217,0.153
Vulvar_Discharge_VAS_0_3,1.62 ± 0.55,1.76 ± 0.59,-0.24,0.598,0.2544,0.3949
Weight_kg,24.89 ± 5.36,23.06 ± 5.91,0.31,0.593,0.279,0.2692
Resp_Rate_bpm,31.49 ± 6.90,30.71 ± 5.95,0.13,0.558,0.4981,0.6989
Total_Protein_g_dL,6.58 ± 0.43,6.68 ± 0.27,-0.33,0.553,0.5391,0.4176
TLC_per_uL,19.83 ± 6.31,18.91 ± 4.04,0.2,0.552,0.5475,0.6079
Heart_Rate_bpm,125.76 ± 18.25,123.29 ± 16.32,0.15,0.528,0.7516,0.6461
Neutrophils_per_uL,14.68 ± 3.05,15.45 ± 4.68,-0.17,0.522,0.805,0.4497
