resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,RandomForest,0.946 ± 0.078,0.892 ± 0.142,0.812 ± 0.144,0.680 ± 0.270,0.943 ± 0.086,0.709 ± 0.243,0.090 ± 0.035
smote,RandomForest,0.944 ± 0.087,0.878 ± 0.159,0.837 ± 0.132,0.770 ± 0.226,0.904 ± 0.104,0.736 ± 0.214,0.093 ± 0.042
class_weight,GaussianNB,0.943 ± 0.089,0.885 ± 0.154,0.822 ± 0.139,0.727 ± 0.240,0.917 ± 0.105,0.724 ± 0.221,0.111 ± 0.094
class_weight,HistGradientBoosting,0.933 ± 0.093,0.853 ± 0.180,0.783 ± 0.140,0.623 ± 0.284,0.944 ± 0.076,0.661 ± 0.235,0.095 ± 0.049
class_weight,XGBoost,0.927 ± 0.084,0.850 ± 0.168,0.746 ± 0.168,0.557 ± 0.314,0.935 ± 0.088,0.594 ± 0.309,0.101 ± 0.057
smote,GaussianNB,0.921 ± 0.104,0.840 ± 0.182,0.785 ± 0.163,0.660 ± 0.298,0.911 ± 0.115,0.657 ± 0.278,0.130 ± 0.102
smote,XGBoost,0.917 ± 0.107,0.834 ± 0.186,0.790 ± 0.147,0.673 ± 0.256,0.906 ± 0.094,0.673 ± 0.242,0.108 ± 0.071
class_weight,AdaBoost,0.916 ± 0.119,0.845 ± 0.181,0.755 ± 0.167,0.583 ± 0.313,0.926 ± 0.102,0.608 ± 0.294,0.130 ± 0.029
smote,AdaBoost,0.911 ± 0.132,0.828 ± 0.192,0.775 ± 0.158,0.653 ± 0.302,0.897 ± 0.118,0.634 ± 0.276,0.134 ± 0.034
class_weight,GradientBoosting,0.908 ± 0.112,0.829 ± 0.179,0.746 ± 0.151,0.580 ± 0.275,0.912 ± 0.104,0.606 ± 0.265,0.130 ± 0.084
smote,HistGradientBoosting,0.904 ± 0.129,0.835 ± 0.189,0.774 ± 0.156,0.647 ± 0.274,0.901 ± 0.126,0.649 ± 0.257,0.118 ± 0.089
class_weight,LDA,0.903 ± 0.121,0.815 ± 0.199,0.775 ± 0.149,0.647 ± 0.280,0.904 ± 0.099,0.646 ± 0.251,0.119 ± 0.073
smote,GradientBoosting,0.893 ± 0.121,0.786 ± 0.200,0.761 ± 0.146,0.623 ± 0.268,0.900 ± 0.105,0.625 ± 0.245,0.135 ± 0.086
class_weight,LogReg_ElasticNet,0.891 ± 0.133,0.790 ± 0.204,0.776 ± 0.134,0.700 ± 0.252,0.851 ± 0.112,0.635 ± 0.207,0.122 ± 0.061
class_weight,RBF_SVM,0.886 ± 0.117,0.773 ± 0.202,0.743 ± 0.121,0.580 ± 0.257,0.906 ± 0.108,0.598 ± 0.207,0.124 ± 0.057
smote,LDA,0.885 ± 0.138,0.789 ± 0.208,0.769 ± 0.138,0.667 ± 0.249,0.871 ± 0.113,0.635 ± 0.219,0.143 ± 0.089
smote,LogReg_ElasticNet,0.880 ± 0.141,0.776 ± 0.206,0.762 ± 0.138,0.673 ± 0.254,0.852 ± 0.117,0.618 ± 0.215,0.129 ± 0.065
smote,RBF_SVM,0.878 ± 0.123,0.756 ± 0.208,0.687 ± 0.110,0.467 ± 0.233,0.908 ± 0.102,0.504 ± 0.221,0.130 ± 0.053
class_weight,LogReg_L1_LASSO,0.876 ± 0.151,0.772 ± 0.200,0.782 ± 0.135,0.750 ± 0.243,0.814 ± 0.131,0.638 ± 0.198,0.143 ± 0.064
smote,KNN,0.874 ± 0.136,0.719 ± 0.211,0.795 ± 0.126,0.753 ± 0.257,0.836 ± 0.113,0.650 ± 0.189,0.135 ± 0.069
smote,LogReg_L1_LASSO,0.866 ± 0.148,0.755 ± 0.199,0.773 ± 0.133,0.710 ± 0.245,0.836 ± 0.124,0.631 ± 0.194,0.140 ± 0.069
class_weight,LogReg_L2,0.858 ± 0.133,0.753 ± 0.201,0.748 ± 0.119,0.630 ± 0.252,0.867 ± 0.115,0.598 ± 0.202,0.142 ± 0.069
smote,LogReg_L2,0.855 ± 0.137,0.745 ± 0.198,0.738 ± 0.123,0.613 ± 0.253,0.863 ± 0.116,0.582 ± 0.206,0.150 ± 0.070
smote,QDA,0.851 ± 0.127,0.731 ± 0.202,0.690 ± 0.130,0.480 ± 0.242,0.900 ± 0.111,0.514 ± 0.248,0.161 ± 0.085
class_weight,KNN,0.825 ± 0.167,0.666 ± 0.234,0.533 ± 0.087,0.090 ± 0.167,0.976 ± 0.050,0.124 ± 0.227,0.143 ± 0.044
class_weight,LinearSVM,0.820 ± 0.156,0.703 ± 0.205,0.651 ± 0.132,0.393 ± 0.264,0.909 ± 0.098,0.432 ± 0.266,0.144 ± 0.059
smote,LinearSVM,0.814 ± 0.168,0.703 ± 0.219,0.713 ± 0.139,0.583 ± 0.291,0.843 ± 0.118,0.531 ± 0.228,0.167 ± 0.079
smote,DecisionTree,0.777 ± 0.155,0.547 ± 0.203,0.697 ± 0.137,0.570 ± 0.267,0.824 ± 0.158,0.520 ± 0.213,0.186 ± 0.100
class_weight,DecisionTree,0.762 ± 0.150,0.561 ± 0.186,0.706 ± 0.134,0.577 ± 0.267,0.836 ± 0.139,0.535 ± 0.194,0.185 ± 0.097
class_weight,QDA,FAILED,,,,,,
