feature,importance_mean,importance_sd
Creatinine_mg_dL,0.042814814814814806,0.03295971686055756
BUN_mg_dL,0.03137037037037039,0.021315965152213286
ALT_U_L,0.019407407407407404,0.02578011909333222
Albumin_g_dL,0.01887037037037037,0.017362471551635277
Illness_Duration_days,0.014333333333333347,0.015129799627314604
ALP_U_L,0.010370370370370367,0.030148239148101823
Progesterone_ng_mL,0.007407407407407418,0.011475506210984955
Clinical_VAS_0_10,0.006296296296296305,0.01259259259259261
Age_years,0.005944444444444449,0.014507979924216952
Globulin_g_dL,0.0044444444444444505,0.008888888888888901
Weight_kg,0.0018518518518518545,0.003703703703703709
Temperature_C,0.0003703703703703709,0.0007407407407407418
Total_Protein_g_dL,0.0003703703703703709,0.0007407407407407418
TLC_per_uL,0.0,0.0
Vulvar_Discharge_VAS_0_3,0.0,0.0
Heart_Rate_bpm,0.0,0.0
Neutrophils_per_uL,0.0,0.0
Uterine_Diameter_mm,-0.0018518518518518545,0.0057377531054924776
Resp_Rate_bpm,-0.005925925925925934,0.011851851851851869
