term,coef,OR,OR_lo95,OR_hi95,z,p
const,-2.0697086515833276,0.12622255108883587,0.03891986852226347,0.4093573027940747,-3.447926062267437,0.0005649086561181349
BUN_mg_dL,0.657031080929453,1.9290566112049863,0.3589755193189796,10.366331989137729,0.765837814690515,0.44377281080474806
Creatinine_mg_dL,0.737848011019755,2.0914299340823663,0.35739177642590897,12.238891484629788,0.818545442297145,0.413045805248377
Albumin_g_dL,-0.7044644341136178,0.4943732728281179,0.1179565269976532,2.07199159815588,-0.9635552445090775,0.3352689543946221
ALP_U_L,0.8474206596626951,2.333619882569806,0.5538982276743142,9.831737103024587,1.1548813086799172,0.24813903459997633
ALT_U_L,0.0,1.0,,,,
Illness_Duration_days,0.3730324067393833,1.4521313979140342,0.6269688239362989,3.363302155231267,0.8705220455059741,0.3840151769431148
Age_years,0.4193661582815818,1.5209971785543488,0.5743039481469248,4.028237006962804,0.8439314035921808,0.39870773855127095
Uterine_Diameter_mm,0.0,1.0,,,,
Globulin_g_dL,0.0,1.0,,,,
Clinical_VAS_0_10,0.0,1.0,,,,
Temperature_C,-0.024152472602787904,0.9761368642823948,0.40096474024464074,2.3763764794622793,-0.053205897160198176,0.9575678570184452
Total_Protein_g_dL,0.0,1.0,,,,
Progesterone_ng_mL,-0.40956827717101846,0.6639368249557573,0.24385578832172297,1.8076753911240409,-0.8014634809048661,0.42286337752762737
