resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,RandomForest,0.951 ± 0.069,0.899 ± 0.126,0.829 ± 0.135,0.737 ± 0.241,0.921 ± 0.094,0.732 ± 0.217,0.085 ± 0.038
smote,RandomForest,0.950 ± 0.072,0.887 ± 0.145,0.850 ± 0.137,0.790 ± 0.247,0.911 ± 0.098,0.751 ± 0.218,0.087 ± 0.043
class_weight,GaussianNB,0.950 ± 0.073,0.902 ± 0.113,0.802 ± 0.147,0.693 ± 0.257,0.910 ± 0.105,0.691 ± 0.235,0.110 ± 0.091
class_weight,HistGradientBoosting,0.941 ± 0.083,0.868 ± 0.169,0.798 ± 0.137,0.650 ± 0.279,0.946 ± 0.073,0.684 ± 0.232,0.089 ± 0.045
class_weight,XGBoost,0.936 ± 0.079,0.868 ± 0.151,0.777 ± 0.162,0.620 ± 0.302,0.935 ± 0.085,0.646 ± 0.287,0.093 ± 0.055
smote,GaussianNB,0.931 ± 0.086,0.866 ± 0.144,0.796 ± 0.169,0.703 ± 0.285,0.889 ± 0.117,0.671 ± 0.265,0.131 ± 0.107
smote,AdaBoost,0.929 ± 0.107,0.860 ± 0.168,0.794 ± 0.129,0.687 ± 0.255,0.901 ± 0.100,0.673 ± 0.198,0.127 ± 0.031
smote,XGBoost,0.927 ± 0.095,0.848 ± 0.185,0.802 ± 0.145,0.700 ± 0.247,0.904 ± 0.103,0.691 ± 0.238,0.100 ± 0.069
class_weight,LogReg_L2,0.917 ± 0.105,0.835 ± 0.174,0.803 ± 0.124,0.750 ± 0.236,0.856 ± 0.113,0.669 ± 0.190,0.116 ± 0.064
class_weight,AdaBoost,0.917 ± 0.105,0.826 ± 0.181,0.770 ± 0.144,0.613 ± 0.295,0.928 ± 0.087,0.631 ± 0.254,0.125 ± 0.030
class_weight,GradientBoosting,0.916 ± 0.096,0.843 ± 0.165,0.764 ± 0.151,0.607 ± 0.274,0.921 ± 0.106,0.637 ± 0.264,0.124 ± 0.082
smote,HistGradientBoosting,0.916 ± 0.125,0.864 ± 0.173,0.788 ± 0.159,0.663 ± 0.280,0.912 ± 0.117,0.672 ± 0.247,0.103 ± 0.077
smote,LogReg_L2,0.916 ± 0.104,0.831 ± 0.169,0.792 ± 0.125,0.737 ± 0.241,0.847 ± 0.117,0.651 ± 0.186,0.123 ± 0.066
class_weight,KNN,0.915 ± 0.100,0.794 ± 0.187,0.656 ± 0.120,0.313 ± 0.240,0.998 ± 0.016,0.423 ± 0.290,0.110 ± 0.035
class_weight,LDA,0.913 ± 0.127,0.848 ± 0.177,0.813 ± 0.123,0.710 ± 0.226,0.917 ± 0.092,0.712 ± 0.203,0.103 ± 0.064
class_weight,RBF_SVM,0.910 ± 0.099,0.799 ± 0.196,0.814 ± 0.130,0.713 ± 0.243,0.915 ± 0.097,0.707 ± 0.211,0.108 ± 0.051
class_weight,LogReg_ElasticNet,0.909 ± 0.122,0.823 ± 0.180,0.807 ± 0.120,0.763 ± 0.231,0.851 ± 0.115,0.673 ± 0.182,0.112 ± 0.056
smote,KNN,0.908 ± 0.091,0.749 ± 0.216,0.828 ± 0.137,0.793 ± 0.244,0.862 ± 0.130,0.709 ± 0.215,0.116 ± 0.064
smote,RBF_SVM,0.907 ± 0.100,0.797 ± 0.195,0.791 ± 0.130,0.663 ± 0.244,0.920 ± 0.087,0.676 ± 0.209,0.108 ± 0.060
smote,GradientBoosting,0.907 ± 0.124,0.822 ± 0.198,0.786 ± 0.136,0.663 ± 0.264,0.908 ± 0.100,0.657 ± 0.237,0.127 ± 0.082
smote,LDA,0.905 ± 0.129,0.823 ± 0.182,0.812 ± 0.129,0.760 ± 0.243,0.864 ± 0.103,0.683 ± 0.199,0.127 ± 0.078
smote,LogReg_ElasticNet,0.905 ± 0.125,0.815 ± 0.173,0.782 ± 0.131,0.717 ± 0.248,0.847 ± 0.117,0.639 ± 0.193,0.118 ± 0.058
smote,QDA,0.899 ± 0.112,0.805 ± 0.184,0.754 ± 0.161,0.610 ± 0.297,0.898 ± 0.111,0.605 ± 0.270,0.124 ± 0.078
class_weight,LinearSVM,0.892 ± 0.123,0.797 ± 0.190,0.689 ± 0.136,0.453 ± 0.267,0.926 ± 0.089,0.506 ± 0.257,0.118 ± 0.042
class_weight,LogReg_L1_LASSO,0.891 ± 0.141,0.795 ± 0.180,0.818 ± 0.130,0.813 ± 0.228,0.823 ± 0.124,0.684 ± 0.188,0.138 ± 0.061
smote,LinearSVM,0.882 ± 0.124,0.776 ± 0.186,0.752 ± 0.121,0.653 ± 0.251,0.851 ± 0.117,0.597 ± 0.195,0.135 ± 0.066
smote,LogReg_L1_LASSO,0.881 ± 0.148,0.778 ± 0.190,0.789 ± 0.131,0.737 ± 0.247,0.840 ± 0.124,0.650 ± 0.190,0.134 ± 0.064
smote,DecisionTree,0.824 ± 0.133,0.628 ± 0.183,0.734 ± 0.155,0.613 ± 0.288,0.854 ± 0.162,0.581 ± 0.228,0.151 ± 0.090
class_weight,DecisionTree,0.780 ± 0.141,0.573 ± 0.185,0.706 ± 0.129,0.573 ± 0.250,0.838 ± 0.146,0.540 ± 0.193,0.175 ± 0.096
class_weight,QDA,FAILED,,,,,,
