feature,importance_mean,importance_sd
Creatinine_mg_dL,0.058499999999999996,0.0402159977449618
BUN_mg_dL,0.05138888888888891,0.04858244304572188
Illness_Duration_days,0.023185185185185194,0.012717463663410958
Albumin_g_dL,0.015537037037037035,0.015532213527519878
ALT_U_L,0.013240740740740737,0.019858035244857637
ALP_U_L,0.009648148148148152,0.011555377491505571
Age_years,0.0024999999999999966,0.004999999999999994
Uterine_Diameter_mm,0.0024999999999999966,0.004999999999999994
Progesterone_ng_mL,0.0022407407407407398,0.0029954240363845525
Globulin_g_dL,0.001499999999999998,0.002999999999999996
Clinical_VAS_0_10,0.0,0.0
Temperature_C,0.0,0.0
Total_Protein_g_dL,0.0,0.0
