resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,QDA,0.953 ± 0.061,0.896 ± 0.130,0.782 ± 0.152,0.583 ± 0.299,0.980 ± 0.042,0.666 ± 0.273,0.081 ± 0.034
smote,QDA,0.952 ± 0.063,0.892 ± 0.130,0.841 ± 0.110,0.863 ± 0.210,0.818 ± 0.150,0.715 ± 0.163,0.108 ± 0.051
class_weight,GaussianNB,0.949 ± 0.066,0.886 ± 0.140,0.813 ± 0.135,0.700 ± 0.252,0.926 ± 0.084,0.709 ± 0.218,0.083 ± 0.049
class_weight,LogReg_L2,0.949 ± 0.062,0.885 ± 0.136,0.847 ± 0.120,0.840 ± 0.228,0.853 ± 0.132,0.730 ± 0.174,0.096 ± 0.046
smote,LogReg_L2,0.948 ± 0.067,0.883 ± 0.142,0.843 ± 0.119,0.823 ± 0.222,0.862 ± 0.121,0.729 ± 0.172,0.099 ± 0.051
class_weight,LogReg_ElasticNet,0.947 ± 0.065,0.884 ± 0.136,0.829 ± 0.126,0.810 ± 0.231,0.849 ± 0.139,0.710 ± 0.182,0.101 ± 0.042
smote,LogReg_ElasticNet,0.946 ± 0.070,0.879 ± 0.144,0.834 ± 0.123,0.813 ± 0.225,0.855 ± 0.124,0.718 ± 0.182,0.102 ± 0.048
class_weight,LDA,0.944 ± 0.068,0.878 ± 0.140,0.776 ± 0.150,0.607 ± 0.290,0.946 ± 0.077,0.650 ± 0.258,0.082 ± 0.038
smote,LDA,0.943 ± 0.068,0.873 ± 0.147,0.838 ± 0.115,0.853 ± 0.218,0.822 ± 0.147,0.713 ± 0.167,0.115 ± 0.061
smote,GradientBoosting,0.940 ± 0.084,0.886 ± 0.140,0.830 ± 0.119,0.767 ± 0.238,0.893 ± 0.138,0.723 ± 0.187,0.112 ± 0.085
class_weight,GradientBoosting,0.939 ± 0.081,0.878 ± 0.156,0.831 ± 0.128,0.720 ± 0.265,0.941 ± 0.101,0.733 ± 0.221,0.091 ± 0.071
class_weight,LinearSVM,0.938 ± 0.070,0.865 ± 0.145,0.763 ± 0.145,0.570 ± 0.300,0.956 ± 0.070,0.626 ± 0.256,0.087 ± 0.034
smote,LinearSVM,0.938 ± 0.070,0.862 ± 0.152,0.805 ± 0.113,0.790 ± 0.235,0.820 ± 0.137,0.670 ± 0.164,0.110 ± 0.053
smote,RandomForest,0.934 ± 0.088,0.884 ± 0.117,0.779 ± 0.113,0.683 ± 0.206,0.875 ± 0.129,0.661 ± 0.171,0.092 ± 0.047
class_weight,RandomForest,0.932 ± 0.082,0.875 ± 0.128,0.800 ± 0.116,0.697 ± 0.205,0.904 ± 0.112,0.696 ± 0.180,0.085 ± 0.040
class_weight,LogReg_L1_LASSO,0.929 ± 0.083,0.854 ± 0.157,0.834 ± 0.113,0.890 ± 0.196,0.778 ± 0.145,0.693 ± 0.151,0.129 ± 0.048
smote,GaussianNB,0.928 ± 0.081,0.857 ± 0.148,0.822 ± 0.128,0.803 ± 0.249,0.840 ± 0.146,0.694 ± 0.196,0.120 ± 0.072
smote,LogReg_L1_LASSO,0.926 ± 0.078,0.850 ± 0.148,0.821 ± 0.113,0.837 ± 0.222,0.805 ± 0.135,0.682 ± 0.157,0.121 ± 0.055
class_weight,XGBoost,0.923 ± 0.094,0.859 ± 0.146,0.789 ± 0.117,0.657 ± 0.227,0.922 ± 0.096,0.676 ± 0.194,0.095 ± 0.055
smote,XGBoost,0.922 ± 0.098,0.860 ± 0.140,0.787 ± 0.118,0.697 ± 0.205,0.877 ± 0.138,0.675 ± 0.178,0.111 ± 0.074
class_weight,AdaBoost,0.921 ± 0.103,0.828 ± 0.171,0.752 ± 0.138,0.600 ± 0.258,0.904 ± 0.107,0.613 ± 0.238,0.121 ± 0.035
smote,AdaBoost,0.918 ± 0.095,0.829 ± 0.167,0.766 ± 0.120,0.653 ± 0.231,0.880 ± 0.116,0.635 ± 0.191,0.122 ± 0.037
class_weight,HistGradientBoosting,0.917 ± 0.102,0.810 ± 0.184,0.827 ± 0.133,0.680 ± 0.249,0.974 ± 0.060,0.752 ± 0.211,0.094 ± 0.055
class_weight,KNN,0.915 ± 0.087,0.796 ± 0.161,0.741 ± 0.132,0.537 ± 0.267,0.945 ± 0.077,0.595 ± 0.246,0.100 ± 0.038
smote,HistGradientBoosting,0.909 ± 0.105,0.837 ± 0.149,0.762 ± 0.123,0.637 ± 0.230,0.887 ± 0.136,0.634 ± 0.197,0.128 ± 0.081
smote,KNN,0.904 ± 0.080,0.740 ± 0.177,0.802 ± 0.111,0.807 ± 0.232,0.796 ± 0.137,0.656 ± 0.156,0.134 ± 0.066
class_weight,RBF_SVM,0.901 ± 0.088,0.795 ± 0.147,0.722 ± 0.130,0.543 ± 0.264,0.901 ± 0.104,0.562 ± 0.234,0.116 ± 0.041
smote,RBF_SVM,0.893 ± 0.086,0.789 ± 0.149,0.758 ± 0.126,0.683 ± 0.246,0.833 ± 0.116,0.610 ± 0.193,0.134 ± 0.057
smote,DecisionTree,0.859 ± 0.121,0.719 ± 0.201,0.783 ± 0.128,0.693 ± 0.250,0.872 ± 0.149,0.660 ± 0.195,0.131 ± 0.087
class_weight,DecisionTree,0.856 ± 0.115,0.694 ± 0.191,0.761 ± 0.119,0.673 ± 0.226,0.850 ± 0.121,0.620 ± 0.170,0.140 ± 0.085
