predictor,OR_per_SD,p_value
BUN_mg_dL,17.526519211766544,0.00036522026874422916
Creatinine_mg_dL,8.27334485038181,0.0005979762458086273
Albumin_g_dL,0.12535206078500846,0.000620790101657545
ALP_U_L,7.041068758186951,0.001019592813187425
ALT_U_L,6.832375670981534,0.0010776058383958774
Illness_Duration_days,3.9478474007334987,0.0013900118312371516
Age_years,2.2385307026655243,0.019586505400987178
Uterine_Diameter_mm,1.8422151114492853,0.07397186621957738
Globulin_g_dL,1.7058514141787087,0.08632947407618044
Clinical_VAS_0_10,1.6154500169918662,0.14628256870410677
Temperature_C,0.6188062426267392,0.15885187438246784
Total_Protein_g_dL,0.6515224090552568,0.16428985471877244
Progesterone_ng_mL,0.6428311479528455,0.1757616884739871
Weight_kg,1.4219846233286635,0.26337938222986856
TLC_per_uL,1.3761909941697237,0.3023513756982852
Heart_Rate_bpm,1.2454840834630787,0.4702031086656123
Vulvar_Discharge_VAS_0_3,0.8809132948073238,0.6809816407653564
Neutrophils_per_uL,0.8931656187834014,0.7132180094869189
Resp_Rate_bpm,1.0928969888499782,0.7728906261550992
