term,coef,OR,OR_lo95,OR_hi95,z,p
const,1.9062754782439821,6.7279835539174995,1.0080632046058682,44.90369502126836,1.9682921381372127,0.04903443401820207
Age_years,-0.5193950461724139,0.594880314261293,0.23381432401300004,1.513519711803195,-1.0901460734375157,0.27564880361337085
Illness_Duration_days,-0.17730021894784767,0.8375283049089177,0.3201786933176313,2.1908193023566755,-0.3613947313153297,0.7178043860466143
Weight_kg,0.0,1.0,,,,
Temperature_C,0.0,1.0,,,,
Heart_Rate_bpm,0.0,1.0,,,,
Resp_Rate_bpm,-0.041926937531854155,0.958939840524629,0.3838980204478318,2.395338263720902,-0.0897664233535119,0.92847283071818
Clinical_VAS_0_10,0.0,1.0,,,,
Vulvar_Discharge_VAS_0_3,-0.17733115673288843,0.8375023940390695,0.2924908904404069,2.3980584795822235,-0.33039179936028423,0.7411039371370154
TLC_per_uL,0.08696293525354908,1.090856246658765,0.41319064343907436,2.8799474764725908,0.1755724676881303,0.8606298339190359
Neutrophils_per_uL,-1.0741783113836943e-17,1.0,0.32221792255451864,3.1034896881963543,-1.8590189442075783e-17,1.0
BUN_mg_dL,-0.5294801408656562,0.5889110408984294,0.09581644887291833,3.6195895190402543,-0.5715154624412654,0.5676502819787244
Creatinine_mg_dL,-0.5332150746091651,0.5867155996458114,0.08981358599317238,3.8327741962548165,-0.5568517409015291,0.5776287292340017
ALP_U_L,-0.7986952491227374,0.4499156091068914,0.1126878002413133,1.796326264995391,-1.130741651646619,0.2581638448516639
ALT_U_L,-3.7883816167241874e-17,1.0,0.16196286386707728,6.174254863884716,-4.078925553728292e-17,1.0
Total_Protein_g_dL,0.09979774191918055,1.1049474109306052,0.38850625394631827,3.1425717566207987,0.1871368027767653,0.8515533733890457
Albumin_g_dL,0.6826788516745134,1.979172546743673,0.408056492907444,9.599464872802118,0.8473884713826535,0.3967786282536534
Globulin_g_dL,0.0,1.0,,,,
Uterine_Diameter_mm,-0.005871962538845853,0.9941452437385043,0.41167614178439077,2.400733647969113,-0.013054039988762598,0.9895846788466416
Progesterone_ng_mL,0.4852774481435083,1.6246256957033909,0.5832637719174156,4.525240171291559,0.9284948343351794,0.3531509461160087
Group_G1_Supportive,-0.2944226199815936,0.7449615892528587,0.06962447261705847,7.970872145984113,-0.24346650466094177,0.8076440299524656
Group_G2_PGF2a,0.0,1.0,,,,
Group_G3_Aglepristone_PGF2a,1.0028283902872699,2.7259810734829477,0.12448290569865834,59.69472492051041,0.6368370667259269,0.524230979120635
Group_G4_OHE,2.3915795973488647,10.930746491593956,0.5105268211933514,234.03514546837596,1.5299156981340138,0.12603759714190632
