resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,GaussianNB,0.955 ± 0.088,0.988 ± 0.034,0.856 ± 0.095,0.752 ± 0.122,0.960 ± 0.158,0.849 ± 0.080,0.192 ± 0.093
class_weight,RandomForest,0.936 ± 0.053,0.987 ± 0.012,0.729 ± 0.125,0.941 ± 0.053,0.517 ± 0.252,0.921 ± 0.035,0.085 ± 0.021
class_weight,LDA,0.931 ± 0.067,0.986 ± 0.014,0.777 ± 0.147,0.932 ± 0.059,0.623 ± 0.307,0.926 ± 0.037,0.090 ± 0.041
smote,RandomForest,0.926 ± 0.055,0.985 ± 0.012,0.777 ± 0.153,0.918 ± 0.062,0.637 ± 0.310,0.920 ± 0.042,0.090 ± 0.025
class_weight,HistGradientBoosting,0.916 ± 0.070,0.982 ± 0.016,0.708 ± 0.139,0.942 ± 0.056,0.473 ± 0.287,0.916 ± 0.037,0.099 ± 0.036
smote,LDA,0.915 ± 0.082,0.982 ± 0.019,0.809 ± 0.123,0.879 ± 0.090,0.740 ± 0.254,0.907 ± 0.053,0.122 ± 0.057
smote,GaussianNB,0.914 ± 0.101,0.978 ± 0.037,0.836 ± 0.101,0.774 ± 0.124,0.897 ± 0.205,0.858 ± 0.074,0.182 ± 0.083
smote,AdaBoost,0.910 ± 0.093,0.980 ± 0.023,0.770 ± 0.158,0.917 ± 0.083,0.623 ± 0.309,0.916 ± 0.056,0.141 ± 0.018
class_weight,XGBoost,0.906 ± 0.087,0.978 ± 0.030,0.682 ± 0.140,0.952 ± 0.058,0.413 ± 0.289,0.916 ± 0.037,0.102 ± 0.036
class_weight,AdaBoost,0.905 ± 0.106,0.978 ± 0.031,0.731 ± 0.146,0.945 ± 0.061,0.517 ± 0.277,0.923 ± 0.048,0.130 ± 0.018
smote,XGBoost,0.904 ± 0.078,0.979 ± 0.021,0.748 ± 0.157,0.920 ± 0.068,0.577 ± 0.309,0.914 ± 0.047,0.101 ± 0.048
smote,GradientBoosting,0.903 ± 0.081,0.980 ± 0.018,0.736 ± 0.146,0.909 ± 0.062,0.563 ± 0.290,0.907 ± 0.043,0.122 ± 0.058
class_weight,GradientBoosting,0.897 ± 0.098,0.976 ± 0.029,0.695 ± 0.150,0.956 ± 0.063,0.433 ± 0.318,0.920 ± 0.039,0.111 ± 0.050
class_weight,LogReg_ElasticNet,0.892 ± 0.086,0.977 ± 0.022,0.765 ± 0.134,0.876 ± 0.082,0.653 ± 0.281,0.897 ± 0.044,0.116 ± 0.040
smote,HistGradientBoosting,0.891 ± 0.096,0.974 ± 0.028,0.751 ± 0.151,0.926 ± 0.064,0.577 ± 0.317,0.918 ± 0.040,0.105 ± 0.049
class_weight,LogReg_L1_LASSO,0.886 ± 0.093,0.975 ± 0.024,0.806 ± 0.141,0.849 ± 0.096,0.763 ± 0.285,0.892 ± 0.058,0.133 ± 0.042
class_weight,LogReg_L2,0.883 ± 0.094,0.974 ± 0.024,0.753 ± 0.128,0.879 ± 0.083,0.627 ± 0.266,0.896 ± 0.047,0.115 ± 0.042
class_weight,RBF_SVM,0.881 ± 0.085,0.974 ± 0.023,0.601 ± 0.107,0.970 ± 0.048,0.233 ± 0.226,0.909 ± 0.031,0.107 ± 0.024
smote,LogReg_ElasticNet,0.879 ± 0.100,0.974 ± 0.025,0.734 ± 0.152,0.874 ± 0.086,0.593 ± 0.304,0.890 ± 0.052,0.121 ± 0.046
smote,LogReg_L1_LASSO,0.875 ± 0.103,0.973 ± 0.027,0.785 ± 0.150,0.867 ± 0.080,0.703 ± 0.301,0.898 ± 0.050,0.126 ± 0.047
smote,LogReg_L2,0.872 ± 0.111,0.971 ± 0.029,0.737 ± 0.137,0.885 ± 0.084,0.590 ± 0.289,0.896 ± 0.046,0.120 ± 0.047
smote,RBF_SVM,0.866 ± 0.092,0.970 ± 0.026,0.547 ± 0.089,0.983 ± 0.035,0.110 ± 0.184,0.905 ± 0.025,0.131 ± 0.034
smote,LinearSVM,0.845 ± 0.129,0.962 ± 0.038,0.726 ± 0.150,0.909 ± 0.076,0.543 ± 0.307,0.905 ± 0.046,0.121 ± 0.048
class_weight,LinearSVM,0.843 ± 0.130,0.962 ± 0.037,0.642 ± 0.143,0.974 ± 0.039,0.310 ± 0.289,0.919 ± 0.031,0.104 ± 0.030
smote,KNN,0.838 ± 0.092,0.958 ± 0.028,0.766 ± 0.137,0.762 ± 0.104,0.770 ± 0.277,0.838 ± 0.068,0.169 ± 0.050
smote,QDA,0.812 ± 0.126,0.955 ± 0.038,0.670 ± 0.138,0.900 ± 0.071,0.440 ± 0.280,0.890 ± 0.044,0.153 ± 0.053
class_weight,KNN,0.801 ± 0.135,0.933 ± 0.052,0.508 ± 0.052,0.986 ± 0.029,0.030 ± 0.104,0.900 ± 0.021,0.124 ± 0.026
smote,DecisionTree,0.728 ± 0.151,0.906 ± 0.056,0.653 ± 0.157,0.853 ± 0.102,0.453 ± 0.320,0.864 ± 0.067,0.180 ± 0.070
class_weight,DecisionTree,0.715 ± 0.128,0.901 ± 0.051,0.687 ± 0.139,0.811 ± 0.118,0.563 ± 0.294,0.848 ± 0.068,0.182 ± 0.068
class_weight,QDA,FAILED,,,,,,
