feature,importance_mean,importance_sd
Group,0.2268498168498169,0.11808658870424305
BUN_mg_dL,0.025119047619047652,0.033151948832826544
Albumin_g_dL,0.021684981684981702,0.02635011161722981
Creatinine_mg_dL,0.02010073260073262,0.03053248687930534
ALP_U_L,0.020100732600732616,0.025907918929416764
Illness_Duration_days,0.017481684981684998,0.02118914644993118
ALT_U_L,0.014368131868131892,0.022560363433591055
Clinical_VAS_0_10,0.012783882783882785,0.013699046039383073
TLC_per_uL,0.01275641025641026,0.011496361943483203
Progesterone_ng_mL,0.011657509157509165,0.014862487840016673
Age_years,0.005842490842490856,0.012052951998040086
Total_Protein_g_dL,0.004652014652014673,0.01734640127407909
Temperature_C,0.003791208791208793,0.005959449170530223
Neutrophils_per_uL,0.0026098901098901227,0.004822278588161758
Uterine_Diameter_mm,0.0012545787545787633,0.014952044889106113
Weight_kg,0.00010073260073260697,0.004248571081807311
Globulin_g_dL,-0.0010256410256410057,0.012753671913277805
Heart_Rate_bpm,-0.0016483516483516317,0.011217406729824008
Resp_Rate_bpm,-0.0041025641025640835,0.010950849489262848
Vulvar_Discharge_VAS_0_3,-0.008424908424908416,0.014010210900369148
