resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,GaussianNB,0.960 ± 0.088,0.989 ± 0.034,0.828 ± 0.083,0.690 ± 0.113,0.967 ± 0.137,0.808 ± 0.078,0.235 ± 0.089
class_weight,RBF_SVM,0.940 ± 0.063,0.988 ± 0.013,0.716 ± 0.137,0.948 ± 0.065,0.483 ± 0.285,0.921 ± 0.039,0.080 ± 0.028
smote,RBF_SVM,0.938 ± 0.061,0.988 ± 0.013,0.687 ± 0.141,0.968 ± 0.046,0.407 ± 0.277,0.923 ± 0.039,0.093 ± 0.044
class_weight,RandomForest,0.937 ± 0.049,0.987 ± 0.010,0.768 ± 0.139,0.933 ± 0.054,0.603 ± 0.287,0.925 ± 0.035,0.081 ± 0.024
smote,RandomForest,0.930 ± 0.052,0.986 ± 0.011,0.758 ± 0.143,0.900 ± 0.073,0.617 ± 0.287,0.908 ± 0.046,0.085 ± 0.027
smote,GaussianNB,0.930 ± 0.097,0.982 ± 0.035,0.806 ± 0.099,0.708 ± 0.130,0.903 ± 0.195,0.812 ± 0.086,0.234 ± 0.093
class_weight,LDA,0.927 ± 0.066,0.985 ± 0.015,0.770 ± 0.135,0.939 ± 0.054,0.600 ± 0.294,0.928 ± 0.029,0.087 ± 0.034
class_weight,LogReg_ElasticNet,0.922 ± 0.080,0.984 ± 0.018,0.810 ± 0.136,0.867 ± 0.077,0.753 ± 0.271,0.902 ± 0.048,0.106 ± 0.039
class_weight,LogReg_L2,0.922 ± 0.078,0.984 ± 0.017,0.787 ± 0.141,0.877 ± 0.076,0.697 ± 0.292,0.902 ± 0.046,0.102 ± 0.042
class_weight,LinearSVM,0.920 ± 0.089,0.983 ± 0.021,0.701 ± 0.131,0.959 ± 0.046,0.443 ± 0.266,0.923 ± 0.032,0.089 ± 0.028
smote,KNN,0.920 ± 0.075,0.978 ± 0.027,0.831 ± 0.118,0.853 ± 0.087,0.810 ± 0.249,0.900 ± 0.050,0.112 ± 0.044
smote,LogReg_L2,0.916 ± 0.091,0.983 ± 0.020,0.777 ± 0.148,0.880 ± 0.083,0.673 ± 0.298,0.901 ± 0.053,0.107 ± 0.046
smote,GradientBoosting,0.916 ± 0.074,0.983 ± 0.017,0.754 ± 0.160,0.908 ± 0.069,0.600 ± 0.325,0.910 ± 0.044,0.116 ± 0.059
smote,XGBoost,0.913 ± 0.072,0.982 ± 0.017,0.732 ± 0.145,0.908 ± 0.065,0.557 ± 0.290,0.906 ± 0.042,0.110 ± 0.046
smote,LDA,0.912 ± 0.082,0.981 ± 0.018,0.815 ± 0.125,0.847 ± 0.111,0.783 ± 0.246,0.892 ± 0.068,0.125 ± 0.058
smote,LinearSVM,0.911 ± 0.102,0.981 ± 0.025,0.741 ± 0.132,0.905 ± 0.068,0.577 ± 0.277,0.906 ± 0.039,0.107 ± 0.048
smote,LogReg_ElasticNet,0.910 ± 0.097,0.981 ± 0.023,0.779 ± 0.155,0.874 ± 0.083,0.683 ± 0.315,0.900 ± 0.051,0.108 ± 0.045
class_weight,GradientBoosting,0.909 ± 0.099,0.980 ± 0.027,0.716 ± 0.154,0.954 ± 0.057,0.477 ± 0.316,0.924 ± 0.039,0.108 ± 0.052
class_weight,XGBoost,0.908 ± 0.068,0.981 ± 0.016,0.692 ± 0.128,0.947 ± 0.051,0.437 ± 0.262,0.916 ± 0.033,0.105 ± 0.040
class_weight,LogReg_L1_LASSO,0.904 ± 0.086,0.980 ± 0.020,0.839 ± 0.131,0.845 ± 0.099,0.833 ± 0.249,0.896 ± 0.063,0.129 ± 0.043
class_weight,KNN,0.903 ± 0.098,0.968 ± 0.037,0.600 ± 0.121,0.991 ± 0.025,0.210 ± 0.245,0.917 ± 0.029,0.096 ± 0.027
smote,QDA,0.901 ± 0.087,0.979 ± 0.021,0.781 ± 0.138,0.876 ± 0.066,0.687 ± 0.272,0.901 ± 0.045,0.112 ± 0.050
smote,LogReg_L1_LASSO,0.900 ± 0.099,0.979 ± 0.023,0.800 ± 0.156,0.859 ± 0.092,0.740 ± 0.298,0.896 ± 0.059,0.119 ± 0.048
class_weight,HistGradientBoosting,0.898 ± 0.074,0.978 ± 0.017,0.704 ± 0.161,0.938 ± 0.062,0.470 ± 0.323,0.914 ± 0.043,0.104 ± 0.044
smote,AdaBoost,0.895 ± 0.097,0.977 ± 0.028,0.745 ± 0.131,0.893 ± 0.077,0.597 ± 0.261,0.902 ± 0.047,0.136 ± 0.023
smote,HistGradientBoosting,0.891 ± 0.102,0.976 ± 0.027,0.715 ± 0.136,0.909 ± 0.066,0.520 ± 0.270,0.904 ± 0.041,0.119 ± 0.047
class_weight,AdaBoost,0.888 ± 0.094,0.975 ± 0.029,0.700 ± 0.143,0.942 ± 0.065,0.457 ± 0.274,0.916 ± 0.046,0.132 ± 0.018
smote,DecisionTree,0.768 ± 0.146,0.919 ± 0.056,0.714 ± 0.157,0.868 ± 0.092,0.560 ± 0.312,0.884 ± 0.059,0.154 ± 0.067
class_weight,DecisionTree,0.755 ± 0.139,0.913 ± 0.055,0.729 ± 0.145,0.812 ± 0.116,0.647 ± 0.312,0.857 ± 0.067,0.164 ± 0.066
class_weight,QDA,FAILED,,,,,,
