feature,importance_mean,importance_sd
Group,0.24122710622710622,0.12383380237493631
BUN_mg_dL,0.03183150183150183,0.02719651333264128
ALP_U_L,0.028745421245421253,0.024000509024643978
Creatinine_mg_dL,0.026492673992674003,0.0290190411828283
Illness_Duration_days,0.022142857142857138,0.018705041319325943
Clinical_VAS_0_10,0.020952380952380948,0.026228129392529203
ALT_U_L,0.019120879120879127,0.02402902483532969
Albumin_g_dL,0.01896520146520147,0.021272568546772095
Age_years,0.012994505494505496,0.01488517550669636
Uterine_Diameter_mm,0.0035897435897435923,0.0043965200511492985
Globulin_g_dL,-0.0026190476190476055,0.010694088850461152
