resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,LinearSVM,0.972 ± 0.037,0.994 ± 0.008,0.758 ± 0.153,0.970 ± 0.046,0.547 ± 0.307,0.939 ± 0.037,0.064 ± 0.025
smote,LogReg_L2,0.970 ± 0.042,0.994 ± 0.009,0.912 ± 0.097,0.905 ± 0.082,0.920 ± 0.180,0.940 ± 0.050,0.075 ± 0.038
smote,LinearSVM,0.969 ± 0.040,0.994 ± 0.008,0.901 ± 0.096,0.909 ± 0.079,0.893 ± 0.191,0.940 ± 0.046,0.068 ± 0.041
class_weight,LogReg_L2,0.969 ± 0.042,0.994 ± 0.009,0.924 ± 0.089,0.897 ± 0.083,0.950 ± 0.157,0.939 ± 0.051,0.076 ± 0.036
class_weight,LDA,0.964 ± 0.044,0.993 ± 0.009,0.797 ± 0.135,0.935 ± 0.073,0.660 ± 0.285,0.930 ± 0.041,0.069 ± 0.031
smote,LDA,0.959 ± 0.045,0.992 ± 0.009,0.909 ± 0.080,0.875 ± 0.090,0.943 ± 0.132,0.925 ± 0.055,0.098 ± 0.058
class_weight,GaussianNB,0.959 ± 0.088,0.989 ± 0.034,0.699 ± 0.079,0.425 ± 0.142,0.973 ± 0.131,0.580 ± 0.135,0.439 ± 0.101
class_weight,QDA,0.959 ± 0.049,0.992 ± 0.010,0.763 ± 0.144,0.962 ± 0.044,0.563 ± 0.283,0.936 ± 0.037,0.071 ± 0.031
smote,LogReg_ElasticNet,0.958 ± 0.052,0.992 ± 0.011,0.886 ± 0.111,0.888 ± 0.077,0.883 ± 0.219,0.928 ± 0.047,0.087 ± 0.039
class_weight,LogReg_ElasticNet,0.958 ± 0.051,0.992 ± 0.011,0.903 ± 0.090,0.870 ± 0.091,0.937 ± 0.166,0.921 ± 0.055,0.093 ± 0.036
class_weight,RBF_SVM,0.957 ± 0.050,0.992 ± 0.010,0.792 ± 0.139,0.941 ± 0.075,0.643 ± 0.275,0.931 ± 0.050,0.072 ± 0.036
smote,QDA,0.955 ± 0.059,0.991 ± 0.012,0.907 ± 0.076,0.841 ± 0.092,0.973 ± 0.131,0.908 ± 0.056,0.101 ± 0.043
class_weight,RandomForest,0.951 ± 0.053,0.990 ± 0.011,0.796 ± 0.119,0.932 ± 0.064,0.660 ± 0.240,0.929 ± 0.039,0.076 ± 0.027
smote,RandomForest,0.950 ± 0.061,0.990 ± 0.012,0.821 ± 0.147,0.915 ± 0.067,0.727 ± 0.284,0.927 ± 0.047,0.077 ± 0.030
smote,RBF_SVM,0.949 ± 0.056,0.990 ± 0.011,0.756 ± 0.146,0.936 ± 0.067,0.577 ± 0.291,0.923 ± 0.046,0.083 ± 0.044
class_weight,KNN,0.941 ± 0.054,0.985 ± 0.013,0.702 ± 0.143,0.961 ± 0.049,0.443 ± 0.290,0.923 ± 0.036,0.080 ± 0.027
smote,XGBoost,0.939 ± 0.069,0.988 ± 0.014,0.801 ± 0.153,0.912 ± 0.069,0.690 ± 0.296,0.921 ± 0.049,0.088 ± 0.050
smote,GradientBoosting,0.939 ± 0.085,0.988 ± 0.018,0.817 ± 0.158,0.918 ± 0.074,0.717 ± 0.300,0.927 ± 0.052,0.087 ± 0.064
smote,LogReg_L1_LASSO,0.937 ± 0.075,0.987 ± 0.016,0.875 ± 0.118,0.844 ± 0.098,0.907 ± 0.219,0.903 ± 0.062,0.104 ± 0.044
class_weight,LogReg_L1_LASSO,0.936 ± 0.079,0.987 ± 0.017,0.873 ± 0.109,0.823 ± 0.107,0.923 ± 0.186,0.891 ± 0.071,0.122 ± 0.042
class_weight,GradientBoosting,0.933 ± 0.086,0.985 ± 0.027,0.750 ± 0.161,0.927 ± 0.074,0.573 ± 0.323,0.917 ± 0.050,0.096 ± 0.063
smote,KNN,0.933 ± 0.056,0.984 ± 0.013,0.894 ± 0.082,0.855 ± 0.097,0.933 ± 0.145,0.912 ± 0.057,0.101 ± 0.054
class_weight,XGBoost,0.930 ± 0.099,0.984 ± 0.031,0.728 ± 0.145,0.949 ± 0.064,0.507 ± 0.289,0.923 ± 0.043,0.089 ± 0.043
smote,HistGradientBoosting,0.928 ± 0.073,0.985 ± 0.016,0.754 ± 0.146,0.924 ± 0.064,0.583 ± 0.299,0.918 ± 0.042,0.100 ± 0.051
smote,AdaBoost,0.928 ± 0.085,0.985 ± 0.019,0.804 ± 0.151,0.894 ± 0.080,0.713 ± 0.287,0.914 ± 0.054,0.127 ± 0.024
class_weight,AdaBoost,0.928 ± 0.093,0.984 ± 0.025,0.778 ± 0.147,0.926 ± 0.066,0.630 ± 0.299,0.922 ± 0.043,0.121 ± 0.021
smote,GaussianNB,0.915 ± 0.100,0.979 ± 0.035,0.724 ± 0.083,0.501 ± 0.156,0.947 ± 0.154,0.647 ± 0.137,0.389 ± 0.113
class_weight,HistGradientBoosting,0.888 ± 0.085,0.974 ± 0.020,0.768 ± 0.146,0.953 ± 0.052,0.583 ± 0.291,0.933 ± 0.039,0.097 ± 0.044
class_weight,DecisionTree,0.822 ± 0.132,0.935 ± 0.052,0.794 ± 0.111,0.811 ± 0.107,0.777 ± 0.237,0.869 ± 0.062,0.143 ± 0.063
smote,DecisionTree,0.810 ± 0.139,0.936 ± 0.056,0.781 ± 0.150,0.853 ± 0.083,0.710 ± 0.303,0.890 ± 0.054,0.150 ± 0.068
