term,coef,OR,OR_lo95,OR_hi95,z,p
const,2.0604208438698555,7.849272433511811,2.4988030837239847,24.656235674108814,3.5282134581750526,0.00041837463274596587
BUN_mg_dL,-0.9146639249084677,0.4006512523735955,0.0940421850007328,1.706908724284529,-1.2369295860081868,0.21611322505816566
Creatinine_mg_dL,-0.38242753267479673,0.6822033266355216,0.1514289163424115,3.0733983317968487,-0.4979752005873041,0.6185015217553143
ALP_U_L,-0.9364033847872504,0.39203530291610195,0.09751010146099177,1.576161612281811,-1.3190714533394945,0.18714522567672054
Albumin_g_dL,0.7157012367192691,2.0456206437356577,0.48810138909666007,8.573144661239239,0.978953003947588,0.3276032009179288
ALT_U_L,0.0,1.0,,,,
Illness_Duration_days,-0.3417214393297847,0.7105461073438328,0.30380488630490254,1.6618421671953416,-0.7882957301043731,0.4305237446745038
Age_years,-0.47650949881786986,0.620947029860575,0.23929726565608153,1.6112813192225075,-0.9794653499113429,0.32735010122656605
Uterine_Diameter_mm,0.0,1.0,,,,
Clinical_VAS_0_10,0.0,1.0,,,,
Globulin_g_dL,0.0,1.0,,,,
