resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier
class_weight,GaussianNB,0.947 ± 0.080,0.984 ± 0.027,0.819 ± 0.145,0.874 ± 0.117,0.763 ± 0.241,0.895 ± 0.087,0.117 ± 0.093
class_weight,RandomForest,0.943 ± 0.077,0.983 ± 0.024,0.795 ± 0.139,0.917 ± 0.097,0.673 ± 0.256,0.909 ± 0.067,0.086 ± 0.042
smote,RandomForest,0.938 ± 0.085,0.982 ± 0.026,0.808 ± 0.137,0.900 ± 0.104,0.717 ± 0.250,0.904 ± 0.073,0.093 ± 0.047
class_weight,HistGradientBoosting,0.938 ± 0.083,0.980 ± 0.032,0.779 ± 0.143,0.935 ± 0.084,0.623 ± 0.284,0.912 ± 0.057,0.092 ± 0.049
class_weight,XGBoost,0.932 ± 0.082,0.981 ± 0.025,0.753 ± 0.155,0.937 ± 0.088,0.570 ± 0.287,0.906 ± 0.067,0.098 ± 0.060
smote,GaussianNB,0.928 ± 0.103,0.978 ± 0.034,0.835 ± 0.155,0.869 ± 0.118,0.800 ± 0.281,0.897 ± 0.086,0.129 ± 0.100
smote,XGBoost,0.920 ± 0.104,0.977 ± 0.032,0.776 ± 0.146,0.906 ± 0.100,0.647 ± 0.255,0.899 ± 0.073,0.104 ± 0.071
smote,KNN,0.920 ± 0.098,0.971 ± 0.043,0.862 ± 0.120,0.858 ± 0.095,0.867 ± 0.229,0.902 ± 0.063,0.109 ± 0.058
smote,LogReg_L2,0.918 ± 0.115,0.974 ± 0.048,0.807 ± 0.118,0.864 ± 0.114,0.750 ± 0.246,0.887 ± 0.071,0.117 ± 0.064
class_weight,LogReg_L2,0.917 ± 0.107,0.974 ± 0.039,0.802 ± 0.125,0.860 ± 0.115,0.743 ± 0.243,0.884 ± 0.076,0.114 ± 0.063
class_weight,RBF_SVM,0.914 ± 0.100,0.974 ± 0.037,0.762 ± 0.123,0.911 ± 0.095,0.613 ± 0.246,0.895 ± 0.061,0.110 ± 0.048
class_weight,GradientBoosting,0.913 ± 0.098,0.974 ± 0.031,0.768 ± 0.154,0.919 ± 0.103,0.617 ± 0.277,0.902 ± 0.076,0.120 ± 0.085
smote,HistGradientBoosting,0.912 ± 0.116,0.974 ± 0.036,0.786 ± 0.163,0.900 ± 0.122,0.673 ± 0.275,0.897 ± 0.089,0.109 ± 0.083
smote,LogReg_ElasticNet,0.912 ± 0.130,0.972 ± 0.052,0.807 ± 0.129,0.864 ± 0.119,0.750 ± 0.246,0.887 ± 0.081,0.111 ± 0.060
class_weight,LogReg_ElasticNet,0.910 ± 0.128,0.971 ± 0.052,0.808 ± 0.126,0.860 ± 0.113,0.757 ± 0.239,0.886 ± 0.076,0.110 ± 0.056
class_weight,AdaBoost,0.910 ± 0.109,0.973 ± 0.037,0.732 ± 0.143,0.924 ± 0.092,0.540 ± 0.274,0.894 ± 0.065,0.127 ± 0.031
smote,AdaBoost,0.909 ± 0.120,0.973 ± 0.038,0.775 ± 0.148,0.900 ± 0.102,0.650 ± 0.269,0.897 ± 0.072,0.129 ± 0.034
class_weight,LinearSVM,0.909 ± 0.111,0.973 ± 0.040,0.713 ± 0.154,0.933 ± 0.090,0.493 ± 0.311,0.892 ± 0.061,0.111 ± 0.043
smote,LDA,0.908 ± 0.134,0.971 ± 0.053,0.822 ± 0.123,0.860 ± 0.114,0.783 ± 0.236,0.890 ± 0.074,0.122 ± 0.077
class_weight,QDA,0.907 ± 0.118,0.971 ± 0.044,0.797 ± 0.133,0.944 ± 0.076,0.650 ± 0.252,0.920 ± 0.056,0.106 ± 0.067
smote,RBF_SVM,0.906 ± 0.109,0.973 ± 0.037,0.762 ± 0.138,0.911 ± 0.087,0.613 ± 0.255,0.896 ± 0.063,0.110 ± 0.060
smote,QDA,0.906 ± 0.115,0.970 ± 0.043,0.800 ± 0.134,0.869 ± 0.103,0.730 ± 0.266,0.888 ± 0.067,0.117 ± 0.074
class_weight,LDA,0.904 ± 0.137,0.969 ± 0.054,0.819 ± 0.134,0.922 ± 0.098,0.717 ± 0.239,0.917 ± 0.069,0.100 ± 0.066
smote,GradientBoosting,0.903 ± 0.115,0.971 ± 0.036,0.758 ± 0.142,0.889 ± 0.113,0.627 ± 0.257,0.885 ± 0.079,0.141 ± 0.092
smote,LogReg_L1_LASSO,0.894 ± 0.151,0.966 ± 0.061,0.804 ± 0.136,0.844 ± 0.120,0.763 ± 0.250,0.878 ± 0.084,0.126 ± 0.066
smote,LinearSVM,0.894 ± 0.140,0.967 ± 0.055,0.775 ± 0.145,0.863 ± 0.116,0.687 ± 0.290,0.878 ± 0.077,0.125 ± 0.063
class_weight,KNN,0.894 ± 0.118,0.949 ± 0.060,0.633 ± 0.130,0.989 ± 0.033,0.277 ± 0.272,0.897 ± 0.033,0.115 ± 0.040
class_weight,LogReg_L1_LASSO,0.893 ± 0.147,0.966 ± 0.059,0.825 ± 0.127,0.814 ± 0.133,0.837 ± 0.225,0.868 ± 0.091,0.135 ± 0.061
smote,DecisionTree,0.806 ± 0.142,0.908 ± 0.072,0.738 ± 0.138,0.869 ± 0.121,0.607 ± 0.280,0.871 ± 0.075,0.161 ± 0.091
class_weight,DecisionTree,0.801 ± 0.140,0.906 ± 0.070,0.724 ± 0.130,0.827 ± 0.141,0.620 ± 0.240,0.846 ± 0.096,0.172 ± 0.099
