feature,importance_mean,importance_sd
BUN_mg_dL,0.03551851851851851,0.02337808759124381
ALT_U_L,0.023907407407407398,0.025894981532858928
Creatinine_mg_dL,0.023277777777777765,0.01454612832022209
Illness_Duration_days,0.02081481481481483,0.011010407845887683
Albumin_g_dL,0.018999999999999993,0.019861523348911798
ALP_U_L,0.01287037037037037,0.006931469360078846
Age_years,0.012629629629629626,0.011081689441502805
Globulin_g_dL,0.009833333333333336,0.01261495835154633
Uterine_Diameter_mm,0.0032407407407407406,0.004846760121593484
Clinical_VAS_0_10,0.0018518518518518489,0.0037037037037036973
