predictor,spearman_rho,p_value
BUN_mg_dL,0.33,0.004
Creatinine_mg_dL,0.243,0.0366
Neutrophils_per_uL,-0.239,0.0402
ALP_U_L,0.228,0.0506
Albumin_g_dL,-0.204,0.0817
ALT_U_L,0.172,0.142
Group,,0.1611
Illness_Duration_days,0.148,0.2068
Globulin_g_dL,0.148,0.2076
TLC_per_uL,-0.136,0.2463
Age_years,0.125,0.2904
Clinical_VAS_0_10,0.123,0.2979
Uterine_Diameter_mm,0.101,0.3921
Total_Protein_g_dL,0.097,0.4113
Resp_Rate_bpm,-0.09,0.4471
Temperature_C,-0.087,0.4592
Vulvar_Discharge_VAS_0_3,-0.049,0.6765
Heart_Rate_bpm,-0.044,0.7079
Weight_kg,0.029,0.8087
Progesterone_ng_mL,-0.016,0.8953
