resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier,Raw_Acc
class_weight,GaussianNB,0.953 ± 0.090,0.987 ± 0.035,0.782 ± 0.085,0.591 ± 0.122,0.973 ± 0.131,0.732 ± 0.103,0.292 ± 0.094,0.657 ± 0.102
class_weight,LDA,0.933 ± 0.067,0.986 ± 0.015,0.731 ± 0.133,0.942 ± 0.062,0.520 ± 0.278,0.922 ± 0.037,0.091 ± 0.037,0.869 ± 0.059
class_weight,RandomForest,0.931 ± 0.053,0.986 ± 0.012,0.749 ± 0.142,0.941 ± 0.053,0.557 ± 0.282,0.925 ± 0.039,0.084 ± 0.024,0.874 ± 0.064
smote,RandomForest,0.930 ± 0.052,0.986 ± 0.011,0.748 ± 0.145,0.917 ± 0.057,0.580 ± 0.285,0.914 ± 0.040,0.086 ± 0.027,0.858 ± 0.066
class_weight,LogReg_L2,0.925 ± 0.075,0.985 ± 0.018,0.790 ± 0.158,0.892 ± 0.061,0.687 ± 0.323,0.910 ± 0.042,0.102 ± 0.040,0.855 ± 0.067
class_weight,LogReg_ElasticNet,0.919 ± 0.077,0.983 ± 0.018,0.807 ± 0.138,0.874 ± 0.076,0.740 ± 0.283,0.904 ± 0.046,0.108 ± 0.039,0.849 ± 0.071
class_weight,AdaBoost,0.918 ± 0.074,0.982 ± 0.017,0.756 ± 0.157,0.935 ± 0.064,0.577 ± 0.300,0.923 ± 0.048,0.130 ± 0.018,0.873 ± 0.078
smote,GaussianNB,0.917 ± 0.104,0.979 ± 0.036,0.796 ± 0.104,0.685 ± 0.127,0.907 ± 0.189,0.797 ± 0.092,0.253 ± 0.095,0.723 ± 0.105
class_weight,RBF_SVM,0.917 ± 0.068,0.983 ± 0.015,0.661 ± 0.119,0.959 ± 0.055,0.363 ± 0.242,0.916 ± 0.036,0.096 ± 0.025,0.853 ± 0.065
smote,LogReg_L2,0.915 ± 0.085,0.982 ± 0.020,0.779 ± 0.127,0.891 ± 0.068,0.667 ± 0.269,0.907 ± 0.039,0.105 ± 0.043,0.851 ± 0.061
smote,KNN,0.914 ± 0.082,0.977 ± 0.027,0.799 ± 0.138,0.817 ± 0.114,0.780 ± 0.291,0.874 ± 0.068,0.119 ± 0.044,0.812 ± 0.090
smote,LDA,0.913 ± 0.083,0.982 ± 0.021,0.812 ± 0.138,0.877 ± 0.082,0.747 ± 0.275,0.907 ± 0.052,0.114 ± 0.052,0.854 ± 0.079
smote,LogReg_ElasticNet,0.913 ± 0.092,0.982 ± 0.022,0.764 ± 0.147,0.888 ± 0.065,0.640 ± 0.306,0.903 ± 0.041,0.107 ± 0.042,0.844 ± 0.065
smote,RBF_SVM,0.913 ± 0.059,0.982 ± 0.014,0.658 ± 0.126,0.965 ± 0.051,0.350 ± 0.252,0.918 ± 0.036,0.105 ± 0.041,0.851 ± 0.057
