resampling,model,ROC_AUC,PR_AUC,Balanced_Acc,Sensitivity,Specificity,F1,Brier,Raw_Acc
class_weight,QDA,0.950 ± 0.059,0.991 ± 0.011,0.795 ± 0.127,0.940 ± 0.066,0.650 ± 0.229,0.935 ± 0.047,0.087 ± 0.053,0.892 ± 0.075
class_weight,RandomForest,0.948 ± 0.066,0.984 ± 0.020,0.781 ± 0.142,0.959 ± 0.062,0.603 ± 0.277,0.923 ± 0.050,0.084 ± 0.032,0.877 ± 0.079
smote,RandomForest,0.943 ± 0.073,0.983 ± 0.022,0.786 ± 0.143,0.932 ± 0.085,0.640 ± 0.278,0.912 ± 0.060,0.089 ± 0.036,0.863 ± 0.089
class_weight,GaussianNB,0.931 ± 0.116,0.976 ± 0.052,0.824 ± 0.134,0.908 ± 0.102,0.740 ± 0.238,0.911 ± 0.072,0.101 ± 0.083,0.868 ± 0.100
class_weight,RBF_SVM,0.930 ± 0.088,0.979 ± 0.028,0.804 ± 0.135,0.930 ± 0.078,0.677 ± 0.263,0.917 ± 0.054,0.095 ± 0.049,0.887 ± 0.083
class_weight,HistGradientBoosting,0.928 ± 0.094,0.978 ± 0.033,0.775 ± 0.149,0.944 ± 0.076,0.607 ± 0.298,0.915 ± 0.055,0.096 ± 0.054,0.865 ± 0.086
smote,RBF_SVM,0.928 ± 0.090,0.979 ± 0.029,0.752 ± 0.154,0.944 ± 0.073,0.560 ± 0.290,0.908 ± 0.059,0.100 ± 0.058,0.877 ± 0.100
class_weight,XGBoost,0.926 ± 0.084,0.978 ± 0.025,0.758 ± 0.147,0.952 ± 0.076,0.563 ± 0.281,0.913 ± 0.058,0.097 ± 0.053,0.862 ± 0.089
smote,KNN,0.926 ± 0.098,0.971 ± 0.044,0.818 ± 0.151,0.919 ± 0.093,0.717 ± 0.291,0.917 ± 0.064,0.091 ± 0.056,0.875 ± 0.095
class_weight,AdaBoost,0.920 ± 0.093,0.975 ± 0.031,0.753 ± 0.135,0.945 ± 0.074,0.560 ± 0.264,0.908 ± 0.055,0.126 ± 0.026,0.855 ± 0.083
class_weight,LDA,0.916 ± 0.115,0.974 ± 0.040,0.800 ± 0.136,0.926 ± 0.082,0.673 ± 0.264,0.915 ± 0.055,0.099 ± 0.059,0.868 ± 0.083
class_weight,GradientBoosting,0.915 ± 0.095,0.973 ± 0.032,0.736 ± 0.158,0.939 ± 0.080,0.533 ± 0.300,0.902 ± 0.063,0.117 ± 0.079,0.845 ± 0.097
smote,XGBoost,0.914 ± 0.094,0.975 ± 0.029,0.758 ± 0.141,0.895 ± 0.114,0.620 ± 0.260,0.888 ± 0.077,0.115 ± 0.065,0.832 ± 0.106
smote,GaussianNB,0.909 ± 0.124,0.966 ± 0.057,0.828 ± 0.142,0.903 ± 0.115,0.753 ± 0.261,0.910 ± 0.078,0.111 ± 0.090,0.868 ± 0.107
smote,AdaBoost,0.906 ± 0.108,0.971 ± 0.035,0.757 ± 0.118,0.914 ± 0.095,0.600 ± 0.240,0.896 ± 0.058,0.129 ± 0.031,0.842 ± 0.084
smote,HistGradientBoosting,0.906 ± 0.106,0.972 ± 0.033,0.766 ± 0.148,0.915 ± 0.110,0.617 ± 0.279,0.899 ± 0.076,0.121 ± 0.071,0.847 ± 0.103
class_weight,LogReg_ElasticNet,0.904 ± 0.140,0.969 ± 0.055,0.803 ± 0.123,0.873 ± 0.115,0.733 ± 0.243,0.891 ± 0.071,0.110 ± 0.057,0.842 ± 0.095
class_weight,LogReg_L2,0.904 ± 0.117,0.971 ± 0.040,0.772 ± 0.134,0.873 ± 0.119,0.670 ± 0.248,0.882 ± 0.077,0.114 ± 0.065,0.827 ± 0.105
smote,LDA,0.900 ± 0.126,0.970 ± 0.045,0.802 ± 0.136,0.847 ± 0.119,0.757 ± 0.254,0.880 ± 0.078,0.129 ± 0.081,0.828 ± 0.105
smote,QDA,0.899 ± 0.142,0.965 ± 0.060,0.807 ± 0.139,0.911 ± 0.100,0.703 ± 0.259,0.909 ± 0.069,0.112 ± 0.070,0.863 ± 0.098
class_weight,LinearSVM,0.898 ± 0.117,0.970 ± 0.040,0.685 ± 0.143,0.936 ± 0.089,0.433 ± 0.262,0.887 ± 0.066,0.117 ± 0.052,0.835 ± 0.116
smote,LogReg_ElasticNet,0.898 ± 0.140,0.968 ± 0.055,0.788 ± 0.126,0.875 ± 0.114,0.700 ± 0.245,0.887 ± 0.071,0.113 ± 0.063,0.835 ± 0.096
smote,LogReg_L2,0.897 ± 0.121,0.969 ± 0.041,0.768 ± 0.134,0.882 ± 0.102,0.653 ± 0.249,0.886 ± 0.069,0.121 ± 0.069,0.830 ± 0.099
smote,LinearSVM,0.896 ± 0.111,0.969 ± 0.039,0.764 ± 0.162,0.895 ± 0.099,0.633 ± 0.296,0.890 ± 0.075,0.127 ± 0.077,0.833 ± 0.107
smote,GradientBoosting,0.895 ± 0.107,0.966 ± 0.035,0.748 ± 0.136,0.906 ± 0.106,0.590 ± 0.265,0.889 ± 0.069,0.141 ± 0.080,0.832 ± 0.096
class_weight,LogReg_L1_LASSO,0.892 ± 0.154,0.965 ± 0.062,0.822 ± 0.138,0.825 ± 0.143,0.820 ± 0.240,0.871 ± 0.096,0.136 ± 0.061,0.823 ± 0.121
class_weight,KNN,0.892 ± 0.111,0.948 ± 0.058,0.628 ± 0.131,1.000 ± 0.000,0.257 ± 0.263,0.900 ± 0.035,0.120 ± 0.042,0.828 ± 0.063
